"Type","Total","Passed","Failed","FrameworkFailures","BrokenLinkPages","MissingImagePages","SeoFailures"
"Blog","113","56","57","0","57","0","0"
"Portfolio","488","451","37","0","37","33","3"
"KnowledgeBase","528","265","263","0","263","0","0"
"Core","44","7","37","0","37","23","0"
"AppStore","125","63","62","0","62","0","0"
"Other","41","38","3","2",,"0","3"
"Template","4","4","0","0","0","0","0"
"Include","2",,,"0",,"0","0"
"Industry","250","126","124","0","124",,"0"
