"File","Type","FrameworkPass","LinksPass","ImagesPass","SeoPass","Header","Footer","Routes","Navigation","Includes","TitleCount","H1Count","MetaDescription","Canonical","BrokenLinkCount","BrokenLinks","MissingImageCount","MissingImages","OverallPass"
"assets\includes\footer.html","Other","False","False","False","False","False","False","False","False","False","0","0","False","False","23","/about/portfolio/ | /design/website-design/ | /design/ecommerce/ | /design/logo-design/ | /design/graphic-design/ | /design/branding/ | /marketing/local-seo/ | /marketing/national-seo/ | /marketing/aeo/ | /marketing/email-marketing/ | /marketing/gmb/ | /digital-ads/google-advertising/ | /digital-ads/microsoft-advertising/ | /digital-ads/social-media-advertising/ | /digital-ads/local-services-advertising/ | /digital-ads/television-advertising/ | /about/portfolio/ | /about/blog/ | /about/faq/ | /about/website-knowledge-base/ | /about/how-to-videos/ | /industries/healthcare/ | /industries/ecommerce/","1","/webact-redesign/Resources/images/Edit-Logo-Black-to-White--Transparent-Bg--284-29-1920w.png","False"
"pages\about-portfolio-case-study.before-tag-render-fix.html","Portfolio","True","False","True","False","True","True","True","True","True","1","2","True","True","7","./case-study.html?project= | ./index.html | ./index.html | ./index.html | ./case-study.html?project= | ./index.html | ./case-study.html?project=","0","","False"
"pages\about-portfolio-case-study.html","Portfolio","True","False","True","False","True","True","True","True","True","1","2","True","True","7","./case-study.html?project= | ./index.html | ./index.html | ./index.html | ./case-study.html?project= | ./index.html | ./case-study.html?project=","0","","False"
"pages\assets-webact-template-embed.html","Other","True","True","True","False","True","True","True","True","True","1","0","False","False","0","","0","","False"
"pages\assets-webact-template-feed.html","Other","False","True","True","False","True","False","False","False","False","0","0","False","False","0","","0","","False"
