"File","Type","Missing","ExpectedPath"
"C:\Projects\webact-clean\pages\about-blog-marketing-channels-you-can-t-ignore.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-marketing-strategies-you-should-be-using-more.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-online-video-platforms-every-business-should-be-using.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-personalize-your-website-and-increase-your-business-with-insite.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-responsive-websites-success.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-signs-that-your-business-is-stuck-in-the-past.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-the-battle-of-the-ads-google-vs-bing.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-the-importance-of-social-media-for-your-business.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-tips-for-encouraging-people-to-return-to-your-website.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-website-features-you-can-t-be-without.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-website-personalization-and-why-is-it-so-important.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-what-customers-value-most-in-a-business.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-what-is-seo-and-why-does-it-matter.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-what-to-know-before-you-partner-with-another-business-to-offer-deals.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-what-types-of-outdoor-advertising-should-you-be-using.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-what-you-need-to-keep-in-mind-when-building-a-new-website.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-why-email-marketing-is-still-important.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-why-java-is-the-language-to-learn-for-digital-marketers.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-why-you-need-to-be-an-expert-in-digital-marketing.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-360-sales-advantage.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-a-breed-apart-papillons.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-a-california-driving-school.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-a-dog-s-day-out.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-a-pup-s-valley.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-abdul-electric.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-absolute-home-care.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-absolute-pest-control-services.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-ace-pet-services.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
